ms,valve_a_pct,valve_b_pct,q_des_csv,qdes,qdes_esn,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg
4534,100.0,36.6796605012657,-9.08682017213578,0.9060311501917013,0.9060311501917013,,4069,4.968253968253968,595.2619047619048,1993,2.4334554334554332,216.9432234432234,2.205723084213578,3.0288139698299976,-0.703125
4567,100.0,36.546136145611676,-9.057517156125915,0.6529694543965086,0.6529694543965086,,4077,4.978021978021978,596.7197802197802,2001,2.443223443223443,218.40109890109886,2.20563349489197,3.0290495922160545,-0.791015625
4601,100.0,36.412485978478784,-7.756266605197026,0.44006270388382873,0.44006270388382873,,4086,4.989010989010989,598.3598901098901,2022,2.468864468864469,222.22802197802199,2.20563349489197,3.0290495922160545,-0.791015625
4635,100.0,37.037288167406466,-7.756266605197026,0.18083427958982057,0.18083427958982057,,4066,4.964590964590965,594.7152014652015,1999,2.4407814407814405,218.03663003663,2.2073215659743033,3.027789672804372,-0.791015625
4667,100.0,36.384395413410445,-7.756266605197026,-0.2079649414756375,-0.2079649414756375,,4095,5.0,600.0,2009,2.4529914529914527,219.8589743589743,2.205464916851501,3.0292190636694607,-0.87890625
4700,100.0,36.74914162860998,-7.756266605197026,-0.4343930670135663,-0.4343930670135663,,4088,4.9914529914529915,598.7243589743589,2003,2.4456654456654454,218.7655677655677,2.205750719832221,3.029124911106193,-0.791015625
4733,100.0,36.97747606177369,-7.756266605197026,-0.6764308702351869,-0.6764308702351869,,4085,4.987789987789988,598.1776556776557,2005,2.448107448107448,219.13003663003659,2.205750719832221,3.029124911106193,-0.703125
4767,100.0,36.95234035686637,-7.756266605197026,-0.9228949566625779,-0.9228949566625779,,4088,4.9914529914529915,598.7243589743589,2005,2.448107448107448,219.13003663003659,2.2065454660338406,3.027507965740664,-0.615234375
4800,100.0,37.02995015196367,-7.756266605197026,-1.1619833472063732,-1.1619833472063732,,4091,4.995115995115995,599.2710622710623,2016,2.4615384615384617,221.13461538461542,2.2059982377816945,3.0278464849086566,-0.52734375
4833,100.0,37.28441407064065,-7.756266605197026,-1.381497755300991,-1.381497755300991,,4087,4.99023199023199,598.5421245421245,2010,2.454212454212454,220.04120879120876,2.2054097682846,3.027845947247179,-0.439453125
4867,100.0,37.89602087448922,-7.756266605197026,-1.3814216935502444,-1.3814216935502444,,4072,4.971916971916972,595.808608058608,2019,2.4652014652014653,221.6813186813187,2.2054097682846,3.027845947247179,-0.17578125
4900,100.0,37.98082441080109,-7.756266605197026,-0.49342356370334883,-0.49342356370334883,,4090,4.993894993894994,599.0888278388278,2014,2.459096459096459,220.77014652014648,2.207171310335536,3.0249256923453705,0.87890625
4933,100.0,38.13481545636477,-7.756266605197026,2.713350760768069,2.713350760768069,,4056,4.9523809523809526,592.8928571428571,2046,2.498168498168498,226.60164835164835,2.205549927684168,3.013063173627223,4.04296875
4967,100.0,36.367970482613345,-7.756266605197026,7.335965165084438,7.335965165084438,,4037,4.929181929181929,589.4304029304029,2079,2.5384615384615383,232.61538461538458,2.2052174886537923,2.9669498315116773,8.525390625
5000,100.0,36.32616290908333,-7.756266605197026,10.834444788485726,10.834444788485726,,4018,4.905982905982905,585.9679487179486,2098,2.5616605616605614,236.07783882783878,2.2052174886537923,2.9669498315116773,12.041015625
5033,100.0,22.772768153620873,-7.756266605197026,13.893053099451674,13.893053099451674,,4014,4.901098901098901,585.2390109890109,2073,2.531135531135531,231.521978021978,2.499903092646245,2.8941528556595313,15.029296875
5067,100.0,20.0,-7.756266605197026,17.646679015385946,17.646679015385946,,4019,4.907203907203907,586.1501831501831,2037,2.4871794871794872,224.96153846153845,2.578355263359868,2.8163476770431095,18.45703125
5100,100.0,20.0,-7.756266605197026,20.01116083100281,20.01116083100281,,4032,4.923076923076923,588.5192307692307,1986,2.4249084249084247,215.6675824175824,2.607207285613547,2.7298702371340764,20.478515625
5133,100.0,20.0,-7.756266605197026,23.489510350278522,23.489510350278522,,4061,4.958485958485959,593.8040293040293,1932,2.358974358974359,205.82692307692307,2.607207285613547,2.7298702371340764,22.587890625
5167,100.0,20.0,-7.756266605197026,23.341705618695798,23.341705618695798,,4075,4.975579975579976,596.3553113553114,1877,2.2918192918192917,195.80402930402926,2.603776538456089,2.664735581560576,24.609375
5200,100.0,20.0,-7.756266605197026,32.126478717487934,32.126478717487934,,4077,4.978021978021978,596.7197802197802,1819,2.221001221001221,185.23443223443226,2.5950241026672587,2.5968497734749176,26.279296875
5233,100.0,20.0,-7.756266605197026,24.233287108834787,24.233287108834787,,4095,5.0,600.0,1758,2.1465201465201464,174.11813186813185,2.5520988598173235,2.5552958029587254,27.24609375
5267,95.47354652202242,26.157168523934804,-7.756266605197026,12.556457351313188,12.556457351313188,,4087,4.99023199023199,598.5421245421245,1707,2.0842490842490844,164.82417582417582,2.511578890210353,2.5552958029587254,28.30078125
5300,86.99120887615803,36.379828987012786,-7.756266605197026,4.103120431234274,4.103120431234274,,4086,4.989010989010989,598.3598901098901,1673,2.0427350427350426,158.6282051282051,2.511578890210353,2.5077564145106095,29.443359375
5334,78.36402694828743,42.3691512283568,-7.756266605197026,4.631646123224375,4.631646123224375,,3942,4.813186813186813,572.1181318681317,1781,2.174603174603175,178.30952380952382,2.456577102318518,2.4484116876042994,29.794921875
5367,79.89662012840706,38.338779052177784,-7.756266605197026,8.179774761260195,8.179774761260195,,3879,4.736263736263736,560.6373626373627,1911,2.3333333333333335,202.0,2.536699704778944,2.418205412829223,26.71875
5400,82.07646812989908,37.17870552036814,-7.756266605197026,11.318383952200229,11.318383952200229,,3778,4.612942612942613,542.231684981685,1975,2.4114774114774113,213.66300366300365,2.5184747162233077,2.524242273358268,24.08203125
5433,82.62667611881847,37.601929784142925,-7.462353085733639,15.140313256807648,15.140313256807648,,3667,4.4774114774114775,522.003663003663,2006,2.449328449328449,219.31227106227104,2.5184747162233077,2.524242273358268,23.203125
