ms,valve_a_pct,valve_b_pct,q_des,pid_u,adc0_raw,adc0_volt,adc0_kpa,adc1_raw,adc1_volt,adc1_kpa,tension_0x2B,tension_0x2A,enc_deg,qdes_esn
3934,79.12093346067984,40.33544394597,11.143490810942328,,,3506,4.280830280830281,492.6639194139194,2112,2.578754578754579,238.62912087912088,2.70252494958284,2.7427954834568053,24.2578125
3967,77.04507897151655,41.59145950819421,11.143490810942328,,,3437,4.196581196581197,480.0897435897436,2136,2.608058608058608,243.00274725274727,2.704169657343868,2.7427954834568053,22.939453125
4000,75.53679366472913,43.241664509726675,11.143490810942328,,,3353,4.094017094017094,464.7820512820512,2163,2.641025641025641,247.9230769230769,2.705358688037818,2.7417588118768474,21.62109375
4033,74.70387284501577,44.33073467921158,10.873892491152656,,,3296,4.024420024420024,454.39468864468864,2204,2.691086691086691,255.3946886446886,2.705358688037818,2.736045672420825,20.126953125
4067,50.73343775459712,68.38563506162696,-9.08682017213578,,,3250,3.968253968253968,446.0119047619047,2251,2.7484737484737485,263.9597069597069,2.7077644147535436,2.739971698969781,18.369140625
4100,50.453646118425574,68.74458430006229,-9.08682017213578,,,3161,3.8595848595848596,429.7930402930403,2352,2.8717948717948714,282.3653846153845,2.718873293383547,2.739971698969781,16.787109375
4133,50.65461455648064,67.3482717257376,-9.08682017213578,,,3103,3.7887667887667886,419.22344322344316,2407,2.938949938949939,292.3882783882784,2.7448449124569896,2.749144629958653,14.150390625
4167,51.616531751545445,66.4473218365475,-9.08682017213578,,,3038,3.7094017094017095,407.37820512820514,2467,3.012210012210012,303.3223443223443,2.7448449124569896,2.7726304669069006,11.162109375
4200,54.18055156191007,65.71109156072053,-9.08682017213578,,,2960,3.614163614163614,393.1639194139194,2538,3.098901098901099,316.260989010989,2.745606612317417,2.7840964491497338,9.31640625
4233,55.21086910798416,64.89414464650764,-9.08682017213578,,,2898,3.5384615384615388,381.86538461538464,2616,3.194139194139194,330.4752747252747,2.767565168824874,2.7840964491497338,6.767578125
4267,56.148918315217934,63.830626579759944,-9.08682017213578,,,2835,3.4615384615384617,370.38461538461536,2672,3.2625152625152625,340.6804029304029,2.7659718282922445,2.7885655848413835,4.482421875
4300,58.045841748709684,62.56568393883949,-9.08682017213578,,,2787,3.4029304029304033,361.6373626373627,2745,3.3516483516483513,353.9835164835164,2.7659718282922445,2.795723383927138,2.724609375
4333,59.90969423330965,61.232798990085755,-9.08682017213578,,,2760,3.3699633699633704,356.717032967033,2781,3.395604395604396,360.5439560439561,2.7750867156618026,2.7948970259365042,0.263671875
